Country/Region,Infected cases,Deaths,Recovered,Active Cases,Serious cases,Total cases/1M pop.,Deaths/1M pop,Total Tests Conducted,%Test Positive,Tests/1M pop.,Pop. Density (per km2),Avg. Wind  Speed (m/s),Avg. Annual Temp. (C.),Avg. Annual Precipitation (mm/yr.),%Pop. High Income,%Pop.  Upper-middle Income,%Pop. Middle Income,%Pop. Low Income,%Pop. Poor,%Pop. Age <=14,%Pop. Age 15-64,%Pop. Age >=65,Current Lockdown Status (Y/N)
Hungary,1763,156,207,1400,63,182,16,41590,4.23899976,4305,107,3.25,9.75,589,2,35,47,15,0,14.3,67.1,18.6,Y
Iceland,1754,9,1224,521,6,5140,26,39536,4.43646297,115859,3,5.94,1.75,1940,66.66666667,33.33333333,0,0,0,20.1,65.5,14.4,N
Bahrain,1740,7,725,1008,3,1023,4,79564,2.186918707,46759,2239,3.88,27.15,83,,,,,,19.7,77.9,2.4 ,N
Kuwait,1658,5,258,1395,32,388,1,,0,,240,4.85,25.35,121,,,,,,21.1,76.6,2.3 ,Y
Kazakhstan,1546,17,347,1182,22,82,0.9,85735,1.803230886,4566,7,4.27,6.4,250,0,6.024096386,31.92771084,61.44578313,0,27.9,65.1,7.0 ,N
Iraq,1482,81,906,495,,37,2,51737,2.864487697,1286,93,4.05,21.4,216,,,,,,40.4,56.4,3.2 ,Y
Estonia,1459,38,145,1276,11,1100,29,37594,3.880938448,28340,31,3.6,5.1,626,7.692307692,46.15384615,38.46153846,15.38461538,0,16.4,64.2,19.5,N
New Zealand,1422,11,867,544,3,295,2,79078,1.798224538,16399,18,5.05,10.55,1732,,,,,,19.8,64.9,15.3,Y
Uzbekistan,1405,4,156,1245,8,42,0.1,136000,1.033088235,4063,79,4.12,12.05,206,,,,,,28,67.5,4.5 ,N
Azerbaijan,1340,15,528,797,26,132,1,86607,1.547219047,8542,123,2.56,11.95,447,,,,,,23.3,70.7,6.0 ,Y
